Date,Open,High,Low,Close,Volume
4/20/2016,0.38,0.38,0.38,0.38,500
4/19/2016,0.45,0.45,0.45,0.45,1500
4/18/2016,0.38,0.38,0.38,0.38,1696
4/15/2016,0.41,0.42,0.4,0.4,53621
4/14/2016,0.47,0.47,0.41,0.41,7800
4/13/2016,0.4,0.47,0.4,0.47,528
4/12/2016,0.41,0.41,0.41,0.41,1000
4/11/2016,0.42,0.42,0.41,0.42,8589
4/8/2016,0.46,0.47,0.46,0.47,6875
4/7/2016,0.45,0.47,0.45,0.47,16563
4/6/2016,0.45,0.45,0.42,0.42,25000
4/5/2016,0.47,0.48,0.45,0.48,26600
4/4/2016,0.49,0.49,0.4,0.47,22101
4/1/2016,0.47,0.49,0.47,0.49,24027
3/31/2016,0.47,0.48,0.42,0.47,56546
3/29/2016,0.45,0.45,0.45,0.45,1000
3/28/2016,0.48,0.48,0.48,0.48,27500
3/24/2016,0.48,0.48,0.48,0.48,30000
3/23/2016,0.48,0.48,0.48,0.48,1664
3/21/2016,0.48,0.48,0.48,0.48,17200
3/18/2016,0.48,0.48,0.48,0.48,3085
3/17/2016,0.48,0.48,0.48,0.48,5000
3/16/2016,0.47,0.48,0.47,0.47,15700
3/15/2016,0.46,0.48,0.46,0.47,30860
3/14/2016,0.45,0.47,0.45,0.47,60164
3/11/2016,0.47,0.47,0.45,0.45,6600
3/10/2016,0.41,0.45,0.41,0.43,12325
3/8/2016,0.4,0.48,0.4,0.48,1375
3/7/2016,0.4,0.4,0.4,0.4,5000
3/4/2016,0.4,0.49,0.4,0.49,50751
3/3/2016,0.41,0.41,0.41,0.41,6200
3/2/2016,0.42,0.42,0.42,0.42,1200
3/1/2016,0.34,0.42,0.34,0.36,20150
2/29/2016,0.41,0.42,0.34,0.34,11300
2/26/2016,0.34,0.42,0.34,0.42,4500
2/25/2016,0.42,0.42,0.34,0.42,18470
2/24/2016,0.39,0.39,0.39,0.39,6957
2/23/2016,0.48,0.48,0.4,0.4,15710
2/22/2016,0.43,0.43,0.43,0.43,22929
2/18/2016,0.4,0.43,0.4,0.43,18318
2/17/2016,0.41,0.43,0.41,0.43,1195
2/16/2016,0.43,0.43,0.43,0.43,11400
2/12/2016,0.42,0.43,0.42,0.43,8000
2/11/2016,0.42,0.45,0.42,0.42,5978
2/10/2016,0.51,0.51,0.4,0.45,49886
2/9/2016,0.52,0.52,0.52,0.52,15200
2/8/2016,0.5,0.55,0.5,0.53,18300
2/5/2016,0.45,0.51,0.45,0.51,32282
2/4/2016,0.56,0.56,0.55,0.56,41540
2/3/2016,0.54,0.56,0.54,0.55,17841
1/29/2016,0.54,0.54,0.45,0.54,13534
1/28/2016,0.54,0.54,0.54,0.54,4868
1/27/2016,0.54,0.54,0.54,0.54,1724
1/26/2016,0.56,0.56,0.5,0.56,15083
1/25/2016,0.52,0.52,0.46,0.46,7451
1/22/2016,0.57,0.57,0.5,0.5,40650
1/21/2016,0.56,0.56,0.56,0.56,372
1/20/2016,0.5,0.5,0.45,0.45,8416
1/19/2016,0.5,0.57,0.43,0.5,25462
1/15/2016,0.55,0.55,0.53,0.53,13936
1/14/2016,0.55,0.55,0.55,0.55,1434
1/13/2016,0.57,0.57,0.57,0.57,15242
1/12/2016,0.57,0.57,0.56,0.56,6801
1/11/2016,0.57,0.57,0.55,0.56,18047
1/8/2016,0.58,0.58,0.55,0.57,32027
1/7/2016,0.61,0.61,0.6,0.6,28928
1/6/2016,0.65,0.65,0.61,0.63,14820
1/5/2016,0.61,0.65,0.61,0.65,13445
1/4/2016,0.65,0.65,0.61,0.61,7000
12/31/2015,0.63,0.63,0.63,0.63,10127
12/30/2015,0.62,0.63,0.62,0.62,20592
12/29/2015,0.62,0.65,0.56,0.6,47470
12/28/2015,0.62,0.62,0.56,0.56,13420
12/23/2015,0.61,0.63,0.61,0.62,59123
12/22/2015,0.6,0.6,0.59,0.59,19159
12/21/2015,0.61,0.62,0.59,0.6,66064
12/18/2015,0.62,0.62,0.6,0.62,9159
12/17/2015,0.59,0.65,0.58,0.62,84885
12/16/2015,0.54,0.55,0.54,0.55,42050
12/15/2015,0.53,0.54,0.5,0.54,54840
12/14/2015,0.5,0.5,0.5,0.5,20000
12/11/2015,0.5,0.54,0.5,0.52,14072
12/10/2015,0.53,0.54,0.5,0.5,11150
12/9/2015,0.5,0.52,0.5,0.52,11753
12/8/2015,0.5,0.5,0.48,0.48,5250
12/7/2015,0.48,0.48,0.48,0.48,16616
12/4/2015,0.5,0.5,0.47,0.48,116978
12/3/2015,0.5,0.5,0.43,0.48,92269
12/2/2015,0.4,0.5,0.4,0.49,110243
12/1/2015,0.4,0.44,0.38,0.4,33425
11/30/2015,0.4,0.4,0.4,0.4,275
11/27/2015,0.39,0.39,0.38,0.38,32020
11/24/2015,0.39,0.39,0.36,0.36,65278
11/23/2015,0.44,0.44,0.37,0.37,12600
11/20/2015,0.44,0.44,0.38,0.4,35300
11/19/2015,0.45,0.45,0.38,0.38,9668
11/17/2015,0.37,0.37,0.37,0.37,1484
11/16/2015,0.35,0.35,0.35,0.35,8700
11/13/2015,0.37,0.45,0.35,0.45,34364
11/12/2015,0.37,0.37,0.37,0.37,1500
11/10/2015,0.41,0.41,0.41,0.41,5000
11/9/2015,0.44,0.44,0.44,0.44,2500
11/6/2015,0.44,0.45,0.44,0.44,8500
11/5/2015,0.5,0.5,0.37,0.44,14400
11/4/2015,0.44,0.45,0.44,0.45,6500
11/3/2015,0.38,0.45,0.38,0.43,5832
11/2/2015,0.39,0.39,0.38,0.38,8000
10/30/2015,0.43,0.44,0.4,0.4,10666
10/29/2015,0.42,0.42,0.42,0.42,1000
10/28/2015,0.42,0.42,0.42,0.42,3850
10/27/2015,0.42,0.45,0.4,0.4,23270
10/26/2015,0.37,0.41,0.37,0.41,56370
10/23/2015,0.34,0.38,0.34,0.38,4500
10/22/2015,0.38,0.38,0.38,0.38,750
10/19/2015,0.38,0.38,0.35,0.38,44666
10/16/2015,0.4,0.4,0.37,0.4,8145
10/15/2015,0.37,0.37,0.37,0.37,1000
10/14/2015,0.41,0.41,0.35,0.41,5500
10/13/2015,0.4,0.43,0.34,0.34,7454
10/12/2015,0.4,0.43,0.4,0.43,120141
10/9/2015,0.39,0.4,0.39,0.4,35033
10/8/2015,0.33,0.39,0.33,0.39,41255
10/7/2015,0.33,0.33,0.33,0.33,2200
10/6/2015,0.35,0.35,0.32,0.33,23509
10/5/2015,0.34,0.34,0.33,0.33,5600
10/2/2015,0.36,0.36,0.36,0.36,3040
9/30/2015,0.34,0.34,0.33,0.33,7304
9/28/2015,0.31,0.31,0.31,0.31,10500
9/25/2015,0.31,0.34,0.31,0.34,20000
9/24/2015,0.34,0.34,0.34,0.34,1000
9/23/2015,0.34,0.34,0.34,0.34,222
9/22/2015,0.32,0.32,0.28,0.29,60021
9/21/2015,0.35,0.35,0.33,0.34,14745
9/18/2015,0.36,0.36,0.36,0.36,401
9/16/2015,0.4,0.4,0.4,0.4,2000
9/15/2015,0.36,0.36,0.36,0.36,1650
9/14/2015,0.36,0.36,0.36,0.36,2400
9/8/2015,0.35,0.42,0.35,0.42,8999
9/4/2015,0.33,0.42,0.33,0.36,15523
9/3/2015,0.35,0.42,0.35,0.42,17500
9/2/2015,0.38,0.38,0.38,0.38,234
9/1/2015,0.4,0.4,0.4,0.4,4999
8/31/2015,0.32,0.41,0.32,0.32,39972
8/28/2015,0.36,0.36,0.31,0.31,21100
8/27/2015,0.36,0.38,0.36,0.38,16500
8/25/2015,0.38,0.38,0.38,0.38,4000
8/24/2015,0.38,0.38,0.34,0.34,36200
8/21/2015,0.35,0.38,0.35,0.35,8230
8/20/2015,0.4,0.4,0.36,0.36,16870
8/19/2015,0.33,0.41,0.33,0.39,82569
8/18/2015,0.38,0.38,0.26,0.33,44824
8/17/2015,0.4,0.4,0.34,0.34,35500
8/14/2015,0.38,0.4,0.37,0.4,35700
8/12/2015,0.37,0.38,0.37,0.37,18000
8/11/2015,0.38,0.38,0.38,0.38,13864
8/10/2015,0.38,0.38,0.38,0.38,2500
8/7/2015,0.36,0.37,0.36,0.37,12500
8/6/2015,0.37,0.4,0.36,0.36,23695
8/5/2015,0.42,0.42,0.35,0.35,15430
8/4/2015,0.4,0.48,0.4,0.41,32723
8/3/2015,0.4,0.4,0.4,0.4,7492
7/31/2015,0.4,0.4,0.4,0.4,750
7/30/2015,0.4,0.4,0.4,0.4,100
7/29/2015,0.44,0.44,0.4,0.4,805
7/28/2015,0.37,0.38,0.37,0.37,17255
7/27/2015,0.48,0.48,0.35,0.4,14795
7/24/2015,0.48,0.48,0.45,0.45,25250
7/23/2015,0.5,0.5,0.49,0.49,3500
7/22/2015,0.5,0.5,0.45,0.45,21485
7/21/2015,0.51,0.51,0.45,0.45,23388
7/20/2015,0.45,0.49,0.45,0.49,55762
7/17/2015,0.43,0.45,0.43,0.45,23964
7/16/2015,0.37,0.51,0.37,0.43,184448
7/15/2015,0.33,0.36,0.33,0.36,13518
7/14/2015,0.27,0.33,0.27,0.33,11835
7/13/2015,0.29,0.3,0.27,0.3,6950
7/10/2015,0.29,0.29,0.28,0.29,27655
7/9/2015,0.27,0.28,0.25,0.25,70000
